_id,DatGeracaoConjuntoDados,SigTipoGeracao,QtdUsinasPeriodo,MdaPotenciaInstaladaKW,MesReferencia,AnoReferencia
"231,2026-03-01,EOL,423,""10364042,38"",3 ,2017"
"232,2026-03-01,CGH,603,""520999,99"",3 ,2017"
"233,2026-03-01,CGH,613,""546490,84"",6 ,2017"
"234,2026-03-01,EOL,439,""10701742,70"",6 ,2017"
"235,2026-03-01,PCH,434,""4976229,57"",6 ,2017"
"236,2026-03-01,UFV,50,""144213,75"",6 ,2017"
"237,2026-03-01,UHE,219,""93216340,44"",6 ,2017"
"238,2026-03-01,UTE,2926,""41021055,39"",6 ,2017"
"239,2026-03-01,UTN,2,""1990000,00"",6 ,2017"
"240,2026-03-01,CGH,617,""561000,04"",9 ,2017"
"241,2026-03-01,EOL,466,""11386242,70"",9 ,2017"
"242,2026-03-01,PCH,431,""4955174,57"",9 ,2017"
"243,2026-03-01,UFV,59,""298183,72"",9 ,2017"
"244,2026-03-01,UHE,219,""93858333,55"",9 ,2017"
"245,2026-03-01,UTE,2930,""41085156,74"",9 ,2017"
"246,2026-03-01,UTN,2,""1990000,00"",9 ,2017"
"247,2026-03-01,EOL,585,""14390292,86"",12,2018"
"248,2026-03-01,CGH,696,""695138,45"",12,2018"
"249,2026-03-01,UFV,2273,""1797580,26"",12,2018"
"250,2026-03-01,CGU,1,""50,00"",12,2018"
"251,2026-03-01,PCH,427,""5157379,57"",12,2018"
"252,2026-03-01,UHE,217,""98286811,21"",12,2018"
"253,2026-03-01,UTE,3001,""40263320,84"",12,2018"
"254,2026-03-01,UTN,2,""1990000,00"",12,2018"
"255,2026-03-01,EOL,511,""12537942,86"",3 ,2018"
"256,2026-03-01,CGH,670,""627354,54"",3 ,2018"
"257,2026-03-01,UFV,81,""935325,00"",3 ,2018"
"258,2026-03-01,CGU,1,""50,00"",3 ,2018"
"259,2026-03-01,PCH,429,""5042722,57"",3 ,2018"
"260,2026-03-01,UHE,220,""95619467,77"",3 ,2018"
"261,2026-03-01,UTE,3002,""41539113,04"",3 ,2018"
"262,2026-03-01,UTN,2,""1990000,00"",3 ,2018"
"263,2026-03-01,UHE,220,""96405578,88"",6 ,2018"
"264,2026-03-01,PCH,427,""5077852,57"",6 ,2018"
"265,2026-03-01,CGH,685,""672819,05"",6 ,2018"
"266,2026-03-01,CGU,1,""50,00"",6 ,2018"
"267,2026-03-01,UTE,3002,""41539113,04"",6 ,2018"
"268,2026-03-01,UTN,2,""1990000,00"",6 ,2018"
"269,2026-03-01,EOL,529,""12920942,86"",6 ,2018"
"270,2026-03-01,UFV,2231,""1306505,63"",6 ,2018"
"271,2026-03-01,UHE,218,""96414819,88"",9 ,2018"
"272,2026-03-01,PCH,427,""5117516,57"",9 ,2018"
"273,2026-03-01,CGH,692,""690302,48"",9 ,2018"
"274,2026-03-01,CGU,1,""50,00"",9 ,2018"
"275,2026-03-01,UTE,3001,""41337215,60"",9 ,2018"
"276,2026-03-01,UTN,2,""1990000,00"",9 ,2018"
"277,2026-03-01,EOL,544,""13370642,86"",9 ,2018"
"278,2026-03-01,UFV,2254,""1322173,36"",9 ,2018"
"279,2026-03-01,EOL,629,""15377852,86"",12,2019"
